공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
커들포드샵,0.0,0건,리뷰 0,대구 중구 대봉로 267,(지번) 봉산동 185-8,연락처 없음,
반지대학 강남캠퍼스,5.0,5건,리뷰 82,서울 강남구 테헤란로1길 32 4층,(지번) 역삼동 817-6,연락처 없음,http://blog.naver.com/ringuniv_kn
문화창조놀이터ETC,0.0,0건,리뷰 1,대구 중구 경상감영길 39,(지번) 서문로1가 11-8,053-217-3900,http://www.etccoop.com/
하이엔드코리아,5.0,7건,리뷰 1,서울 종로구 인사동길 62-5 충원빌딩 1층,(지번) 관훈동 118-2,02-392-3553,
영웅컴퓨터자수,5.0,1건,리뷰 0,대구 서구 국채보상로48길 20-9 1층,(지번) 평리동 1341-6,053-557-7098,
영신화,1.0,1건,리뷰 0,부산 부산진구 중앙대로 916-1,(지번) 양정동 352-8,051-852-5008,
액자촌,0.0,0건,리뷰 0,대구 중구 명륜로23길 101,(지번) 남산동 911-5,053-421-5881,
수프레임,0.0,0건,리뷰 0,대구 서구 원대로 39-10,(지번) 원대동1가 18-3,053-984-6631,https://suframe.modoo.at/
리네아뜨개,0.0,0건,리뷰 0,대구 중구 국채보상로 492-30,(지번) 동산동 136,연락처 없음,
,D 옹기마을항아리 전통공예,0.0,0건,리뷰 0,(지번) 동산동 136,연락처 없음,
갤,0.0,0건,리뷰 0,대구 수성구 달구벌대로 2811,(지번) 이천동 54-5,053-791-2131,
노봉뜨개방,1.0,1건,리뷰 0,경남 창원시 의창구 의안로44번길 24,(지번) 소답동 121-3,055-256-3189,
레더키메라,0.0,0건,리뷰 2,대구 중구 경상감영길 117-20 2층,(지번) 향촌동 10-8,010-7712-5203,http://blog.naver.com/ldchimera
청송뜨개실,5.0,1건,리뷰 0,광주 북구 독립로375번길 117-3,(지번) 중흥동 750-10,062-512-2539,http://tgesil.com/
경주민속공예촌사업협동조합,1.0,1건,리뷰 2,경북 경주시 보불로 230,(지번) 하동 201-14,054-746-7270,
비즈케슬,0.0,0건,리뷰 0,대구 중구 큰장로28길 44,(지번) 대신동 115-153,053-257-3212,
갤러리,0.0,0건,리뷰 2,서울 강남구 봉은사로68길 23,(지번) 삼성동 115-18,02-555-9429,http://www.gallerydaon.com/
상인화랑표구사,0.0,0건,리뷰 0,대구 달서구 상원로 52,(지번) 상인동 1431-11,053-633-6564,
눌세라믹,0.0,0건,리뷰 11,대전 서구 월평서로25번길 47 지하1층,(지번) 월평동 1311,042-471-4885,https://blog.naver.com/yobii_0624
강,3.0,2건,리뷰 0,서울 송파구 오금로 210,(지번) 송파동 147-2,02-421-0814,
냄시,0.0,0건,리뷰 4,대전 중구 목척9길 30,(지번) 은행동 132-9,02-421-0814,https://blog.naver.com/naemsih
JS스토리,0.0,0건,리뷰 0,대구 달서구 와룡로28길 39,(지번) 감삼동 286-28,연락처 없음,
뜨개사랑바이양쌤,0.0,0건,리뷰 0,대구 남구 두류공원로5길 56-2,(지번) 대명동 1645-14,연락처 없음,
한,0.0,0건,리뷰 1,대전 중구 중앙로122번길 10,(지번) 대흥동 493-1,042-226-3330,
,"D 루나밍 미술,공예",4.0,4건,리뷰 77,(지번) 대흥동 493-1,042-226-3330,http://blog.naver.com/lunaming202
아미블로썸,0.0,0건,리뷰 0,대구 달성군 화원읍 화원로1길 32,(지번) 화원읍 천내리 27-4,010-4339-1080,https://blog.naver.com/army-gongbang
리네아,4.0,4건,리뷰 4,서울 강남구 논현로26길 42-12 1층,(지번) 도곡동 456-5,010-4339-1080,http://www.linea.kr/
히든스,0.0,0건,리뷰 0,대구 수성구 동대구로74길 71 지하1층,(지번) 범어동 52-8,053-751-5005,http://www.hiddenspace.kr/
우,0.0,0건,리뷰 2,서울 종로구 종로54길 19 1층,(지번) 창신동 330-46,02-765-3889,http://wooriart.com/
주남아트,5.0,1건,리뷰 18,경남 창원시 의창구 동읍 주남로71번길 43-1,(지번) 동읍 월잠리 354-4,055-299-9496,
세진수예침장,0.0,0건,리뷰 0,대구 서구 큰장로 49,(지번) 내당2.3동 983-17,053-254-0737,
갤,0.0,0건,리뷰 6,서울 종로구 인사동9길 10,(지번) 관훈동 192-46,053-254-0737,
앞산민속품경,0.0,0건,리뷰 0,대구 남구 용두길 53,(지번) 봉덕동 1195-15,연락처 없음,
송명수,0.0,0건,리뷰 0,대구 남구 대명남로 189,(지번) 대명동 674-6,053-651-3720,
동성,0.0,0건,리뷰 0,대구 달서구 달구벌대로 1130,(지번) 신당동 1320-11,053-764-2212,
페인팅데이,0.0,0건,리뷰 2,대구 수성구 범어천로 23-5,(지번) 황금동 702-2,연락처 없음,
예송,0.0,0건,리뷰 1,대구 중구 봉산문화길 56,(지번) 봉산동 222-51,053-426-1515,
영일리본,0.0,0건,리뷰 0,대구 북구 공평로 131,(지번) 칠성동2가 302-96,053-427-7563,
나래뜨게방,0.0,0건,리뷰 0,대구 달서구 당산로21안길 19,(지번) 감삼동 206-1,연락처 없음,
,"D 하늘닮은도자기공방 마산본점 미술,공예",0.0,0건,리뷰 34,(지번) 감삼동 206-1,연락처 없음,http://www.xn--ob0bx0i77izi0a.kr/
아프로,5.0,1건,리뷰 0,대구 남구 대명로 242,(지번) 대명동 521-9,053-624-0571,
누크,0.0,0건,리뷰 1,서울 종로구 평창34길 8-3,(지번) 평창동 467-4,02-732-7241,http://nookgallery.co.kr/
초안산 도자기체험장,0.0,0건,리뷰 2,서울 노원구 월계동 산 17-7,(지번) 평창동 467-4,연락처 없음,https://www.nowon.kr/www/info/info1/info1_12.jsp
사이에,0.0,0건,리뷰 2,대구 중구 북성로 102 1층,(지번) 북성로1가 74,연락처 없음,http://inbtwn.kr/
홍티예술촌,4.5,2건,리뷰 35,부산 사하구 홍티로 76,(지번) 다대동 1622,연락처 없음,
빈센,5.0,1건,리뷰 0,울산 남구 삼산로55번길 3,(지번) 신정동 662-11,052-258-2250,
303 하남가구단지(골드무,0.0,0건,리뷰 0,경기 하남시 하남대로 514,(지번) 천현동 538-1,031-794-5667,
,0.0,0건,리뷰 0,서울 종로구 북촌로11가길 1,(지번) 가회동 31-14,연락처 없음,
선화,0.0,0건,리뷰 0,대구 수성구 청호로 248-1,(지번) 황금동 248-3,053-767-3884,
프롬지캔들,0.0,0건,리뷰 3,대구 남구 성당로46길 80-2 1층,(지번) 대명동 2239-32,010-9467-0425,https://blog.naver.com/fromji_candle/
내디내만목공,0.0,0건,리뷰 4,경기 고양시 일산동구 동국로245번길 106,(지번) 성석동 137-2,031-976-7893,http://blog.naver.com/mydiy
포렉스,0.0,0건,리뷰 0,경남 창원시 성산구 반월로 46,(지번) 양곡동 201-3,055-274-4804,
로비니,0.0,0건,리뷰 9,대구 남구 현충로18길 12,(지번) 대명동 350-1,010-2837-2346,http://www.robini.co.kr/
도서관옆공방,0.0,0건,리뷰 0,대구 서구 국채보상로49길 9,(지번) 평리동 1090-9,053-522-2644,
,D 태화TEXTILE 화방,0.0,0건,리뷰 0,(지번) 평리동 1090-9,053-522-2644,
스페이,5.0,2건,리뷰 3,서울 영등포구 경인로 739 2층,(지번) 문래동2가 4-2,053-522-2644,http://www.facebook.com/space9mullae
,4.0,4건,리뷰 1,서울 종로구 우정국로 40,(지번) 견지동 108,02-733-8960,
두가지,0.0,0건,리뷰 6,전북 전주시 완산구 전동성당길 26 1층,(지번) 경원동1가 115-5,02-733-8960,
한솔,5.0,1건,리뷰 27,경남 양산시 상북면 충렬로 672,(지번) 상북면 소석리 594,010-3865-8764,https://blog.naver.com/fly2697
사이아트스,0.0,0건,리뷰 4,서울 종로구 윤보선길 28,(지번) 안국동 63-1,010-3865-8764,http://www.cyartspace.org/
제이에이치텍,0.0,0건,리뷰 0,대구 달서구 성서공단로 11,(지번) 호림동 5-12,053-592-6381,
지혜진아트도자기공방,5.0,1건,리뷰 0,경기 수원시 영통구 매봉로49번길 5 3층,(지번) 매탄동 1195-1,053-592-6381,https://www.instagram.com/cheehyejin_ceramic_studio
4,0.0,0건,리뷰 1,제주특별자치도 제주시 구남로8길 38,(지번) 이도2동 2008-3,064-753-8037,
송도해수욕장 ,0.0,0건,리뷰 3,경북 포항시 남구 송도해안길 34-1,(지번) 송도동 254-368,연락처 없음,
지오,0.0,0건,리뷰 0,대구 달성군 화원읍 명천로21길 17,(지번) 화원읍 천내리 541-1,053-294-0015,http://blog.naver.com/gowood701
올리브공방,0.0,0건,리뷰 1,대구 달성군 다사읍 서재로 120,(지번) 다사읍 서재리 169,연락처 없음,
대구화실아틀리에,0.0,0건,리뷰 3,대구 달서구 와룡로43길 70 지하,(지번) 용산동 898-7,연락처 없음,https://blog.naver.com/atelierstudio
갤러,0.0,0건,리뷰 0,대구 수성구 무학로11길 48,(지번) 상동 389-9,053-475-6859,http://blog.naver.com/hongpro21c
여나캘리그라피,0.0,0건,리뷰 0,대구 북구 대현로19길 72 1층,(지번) 대현동 21-19,053-475-6859,http://instagram.com/yeona_calligraphy
참샘아트,0.0,0건,리뷰 0,대구 북구 태암남로 29-1,(지번) 구암동 670-10,053-323-3385,http://www.frame114.com/
로맨틱무드,0.0,0건,리뷰 6,대구 달서구 감삼남길 167 1층,(지번) 감삼동 124-18,연락처 없음,http://www.instagram.com/_romantic.mood
편지,0.0,0건,리뷰 0,대구 달서구 진천로9길 88,(지번) 진천동 683-13,연락처 없음,
대림기공,0.0,0건,리뷰 0,부산 강서구 화전산단6로90번길 19,(지번) 화전동 586-8,051-971-2144,
느낌액자,0.0,0건,리뷰 0,대구 중구 동덕로 23-1 1층,(지번) 대봉동 123-18,010-5155-4429,http://www.59am.co.kr/
동방상사,0.0,0건,리뷰 0,대구 달성군 다사읍 서재본4길 30-30,(지번) 다사읍 서재리 704-4,053-356-1141,
아브니르,0.0,0건,리뷰 0,대구 남구 중앙대로31길 207 2층,(지번) 대명동 1923-3,연락처 없음,https://blog.naver.com/avenir_atelier/
쇼움갤,0.0,0건,리뷰 1,대구 동구 효신로 4,(지번) 효목동 509-10,053-745-9890,
우일요 성북동전시장,0.0,0건,리뷰 4,서울 성북구 성북로 95-4,(지번) 성북동 122-4,053-745-9890,http://www.wooilyo.com/
구구,0.0,0건,리뷰 4,서울 양천구 목동중앙서로9길 30 2층,(지번) 목동 775-18,연락처 없음,http://www.guguent.com/19
나무,0.0,0건,리뷰 0,대구 달서구 당산로 114-1,(지번) 성당동 695-103,053-249-2858,
장산액자,0.0,0건,리뷰 0,경북 경산시 서상길 106-5,(지번) 중방동 347-5,053-812-0279,
포티아 가죽공방,5.0,3건,리뷰 0,대구 수성구 동대구로80길 50,(지번) 범어동 53-24,053-812-0279,http://blog.naver.com/epunji
포토마트,0.0,0건,리뷰 0,대구 북구 노원로 209,(지번) 침산동 848-1,연락처 없음,
프린트그라운드,0.0,0건,리뷰 0,대구 중구 문우관길 19 2층,(지번) 남산동 568-20,연락처 없음,http://printground.co.kr/
예,5.0,1건,리뷰 2,광주 동구 제봉로 155-1,(지번) 궁동 12-5,연락처 없음,
갤러리위,0.0,0건,리뷰 0,대구 달서구 상인로 27,(지번) 상인동 1578-4,연락처 없음,
우드다인목,0.0,0건,리뷰 0,대구 달서구 감삼남1길 41,(지번) 감삼동 146-9,연락처 없음,http://blog.naver.com/wood-dyne/
도아도,2.0,1건,리뷰 19,대전 서구 둔산로206번길 34,(지번) 둔산동 1903,연락처 없음,https://doahstudio.modoo.at/
동산수예,0.0,0건,리뷰 0,대구 중구 큰장로 36,(지번) 대신동 1264,053-256-9191,
소품공장 부산서면점,0.0,0건,리뷰 2,부산 부산진구 신천대로50번길 65 4층,(지번) 부전동 196-2,연락처 없음,https://twitter.com/SP_factory
김민정,2.5,2건,리뷰 2,부산 금정구 오륜대로 243,(지번) 오륜동 583-12,051-514-6007,
디오제니,0.0,0건,리뷰 0,대구 달서구 달서대로85길 6-15 1층,(지번) 호림동 19-3,051-514-6007,
가죽공방 수미워크룸,0.0,0건,리뷰 0,대구 중구 경상감영길 229 2층,(지번) 동문동 4-9,051-514-6007,http://www.instagram.com/oh_sumi
에이원아트,1.8,5건,리뷰 0,경기 성남시 분당구 황새울로342번길 9 지하1층,(지번) 서현동 250-3,031-708-6263,
예나원뿌리공예,0.0,0건,리뷰 1,전남 담양군 창평면 의병로 82 1층,(지번) 창평면 의항리 11-10,019-607-7935,
꿈꾸는나무공방,5.0,1건,리뷰 0,대구 달서구 달구벌대로307길 14,(지번) 죽전동 270-5,연락처 없음,http://blog.naver.com/phs0140
,5.0,1건,리뷰 0,대구 남구 명덕로40길 79,(지번) 대명동 1794-11,053-621-3115,http://jinhwabang.igweb.kr/
원앤제이갤,5.0,1건,리뷰 3,서울 종로구 북촌로 31-14,(지번) 가회동 130-1,02-745-1615,http://www.oneandj.com/
죽산목,0.0,0건,리뷰 5,경기 안성시 일죽면 한다리길 98,(지번) 일죽면 방초리 971-4,연락처 없음,https://blog.naver.com/secukim
,"D 미미살롱J 다사점 수예,자수",0.0,0건,리뷰 0,(지번) 일죽면 방초리 971-4,연락처 없음,https://www.instagram.com/mimisalon_j
호수컴퓨터자수,0.0,0건,리뷰 0,대구 달서구 성서공단북로77길 50,(지번) 장기동 180-60,053-583-8600,
갤러,4.0,2건,리뷰 33,부산 기장군 철마면 미동길 7-20,(지번) 철마면 웅천리 36-3,051-781-5337,http://www.facebook.com/galleryyedong
팅클유,4.9,54건,리뷰 8,서울 마포구 성미산로26길 33,(지번) 연남동 257-4,051-781-5337,http://www.tingklu.co.kr/
상명뜨개방,5.0,1건,리뷰 0,대구 수성구 수성로 412,(지번) 수성동4가 1090-6,053-752-5313,
야곱,5.0,2건,리뷰 0,대구 동구 반야월북로59길 36,(지번) 신서동 448-3,053-962-8391,
해이솝,0.0,0건,리뷰 3,대구 수성구 무학로29길 20,(지번) 지산동 1065-51,연락처 없음,https://blog.naver.com/chsw16
아리엘,5.0,3건,리뷰 27,대전 서구 둔지로 38 플로채 건물 1층,(지번) 둔산동 980,연락처 없음,http://www.arielperfume.com/
페이스갤러리,2.7,3건,리뷰 10,서울 용산구 이태원로 262,(지번) 한남동 683-73,연락처 없음,http://www.pacegallery.com/
쓰임팩,0.0,0건,리뷰 0,대구 달서구 달구벌대로 1734,(지번) 두류동 487-7,010-5005-2213,http://blog.naver.com/jinizoara
이안창의센터,0.0,0건,리뷰 0,대구 서구 국채보상로50길 50-36,(지번) 평리동 1318-24,053-557-0446,
신화랑표구사,0.0,0건,리뷰 0,대구 수성구 공경로 77,(지번) 만촌동 444-35,053-741-5512,
미술넷커뮤니케이션,1.0,1건,리뷰 0,서울 성북구 동소문로25길 20-16 엠에스엔빌딩,(지번) 동선동4가 257,02-924-0099,https://www.hwabang.net/
갤러,0.0,0건,리뷰 5,서울 종로구 삼청로 127-2,(지번) 삼청동 124-1,02-6014-6677,http://www.galleryilho.com/
,0.0,0건,리뷰 1,서울 용산구 회나무로 74,(지번) 이태원동 5-13,02-6014-6677,http://p21.kr/
,D 이레화방 화방,0.0,0건,리뷰 0,(지번) 이태원동 5-13,02-6014-6677,http://www.irehb.co.kr/
쉐누301,4.6,5건,리뷰 25,경기 용인시 처인구 모현읍 문형동림로 171-1,(지번) 모현읍 동림리 301-2,연락처 없음,
통인가게,2.5,2건,리뷰 5,서울 종로구 인사동길 32,(지번) 관훈동 16,02-733-4867,http://www.tonginstore.com/
라오크,5.0,2건,리뷰 39,서울 송파구 석촌호수로 284 현대레이크빌 지하1층 106호,(지번) 송파동 31-2,010-9789-0601,http://blog.naver.com/loungeofcraft/
상미뜨게연구방,0.0,0건,리뷰 0,대구 서구 국채보상로38길 48,(지번) 중리동 79-11,053-523-8244,
학산도예,5.0,1건,리뷰 0,경북 칠곡군 가산면 호국로 1356,(지번) 가산면 학산리 324-3,054-973-8223,
박여,4.3,23건,리뷰 1,서울 용산구 소월로38길 30-34 박여숙아트센터,(지번) 이태원동 262-20,054-973-8223,https://parkryusookartcenter.wixsite.com/my-site
스튜디오올굿띵스,5.0,1건,리뷰 0,대구 중구 봉산문화길 19 2층,(지번) 봉산동 217-5,연락처 없음,
대성건드릴,0.0,0건,리뷰 0,대구 달서구 성서로5길 116,(지번) 월암동 908-1,053-586-9875,
소림공방,0.0,0건,리뷰 0,경북 고령군 다산면 상곡길 51-4,(지번) 다산면 상곡리 149-7,010-3530-5957,
캔들하다,0.0,0건,리뷰 0,대구 달서구 이곡공원로1길 70,(지번) 이곡동 128,연락처 없음,
을,0.0,0건,리뷰 0,대구 남구 이천로 134,(지번) 이천동 414-6,053-474-4888,http://www.eul-gallery.com/
에이치제이테크(HJTECH),0.0,0건,리뷰 0,대구 달서구 성서로9길 97,(지번) 월암동 910-12,053-592-9008,
니아벡,0.0,0건,리뷰 35,서울 광진구 자양로53길 15 1층,(지번) 구의동 28-46,02-444-7601,http://www.niavc.com/
진진목,0.0,0건,리뷰 1,대구 서구 통학로15길 21 1층,(지번) 평리동 1199-13,010-8865-1477,https://blog.naver.com/jinjintree/
,D 갤러리요호 화랑,5.0,1건,리뷰 8,(지번) 평리동 1199-13,010-8865-1477,https://www.instagram.com/gallery_yoho/
성서수예점,0.0,0건,리뷰 0,대구 달서구 용산동 448-11,(지번) 평리동 1199-13,연락처 없음,
고,0.0,0건,리뷰 0,대구 남구 이천로28길 2,(지번) 이천동 414-3,053-943-2261,
갤,0.0,0건,리뷰 0,서울 종로구 인사동4길 12,(지번) 낙원동 283-38,02-735-9500,https://blog.naver.com/gallerymh
갤러리,0.0,0건,리뷰 2,서울 용산구 회나무로13가길 25-1,(지번) 이태원동 260-103,02-749-0419,http://galerieerd.com/
봄의언덕,0.0,0건,리뷰 4,대구 북구 주좌길 12 아진빌 1층,(지번) 학정동 951-5,02-749-0419,http://instagram.com/spring_hill_atelier
크라메,3.0,1건,리뷰 0,대구 남구 현충로 208 크라메빌딩,(지번) 대명동 1921-11,053-623-2408,http://crama.dmax.kr/
갤러,3.0,1건,리뷰 5,서울 종로구 평창30길 40,(지번) 평창동 464-13,02-391-9171,http://www.sejul.com/
공방갤러리나비,0.0,0건,리뷰 0,대구 서구 국채보상로 421,(지번) 비산동 151-21,연락처 없음,
늘품체험공방,0.0,0건,리뷰 0,대구 북구 호암로 51 삼성창조캠퍼스 기숙사 B동 창작아티스트센터 104호,(지번) 침산동 1759,0507-1404-9746,http://www.ddghope.co.kr/
유진뜨개방,0.0,0건,리뷰 0,대구 북구 칠성남로 12,(지번) 고성동1가 152-7,053-353-6647,
벨루어,0.0,0건,리뷰 4,대구 서구 달서로5길 26 1층,(지번) 내당동 918-15,0507-1439-8883,https://www.instagram.com/craft.velour/
갤러리,0.0,0건,리뷰 4,대구 중구 봉산문화길 60,(지번) 봉산동 222-34,0507-1439-8883,http://www.galleryjone.com/
쉼목,0.0,0건,리뷰 1,대전 동구 대전로839번길 75 2층,(지번) 중동 50-1,0507-1439-8883,http://blog.naver.com/bikemaker
도자기공방 모색,0.0,0건,리뷰 7,부산 금정구 중앙대로1660번길 6,(지번) 부곡동 255-2,0507-1439-8883,https://www.instagram.com/ms_ceramics/
윤드림,0.0,0건,리뷰 0,대구 중구 서성로 44,(지번) 서성로2가 13-5,연락처 없음,
그림제작소,3.0,2건,리뷰 24,서울 송파구 석촌호수로 290 성우빌딩 3층 301호,(지번) 송파동 58-18,070-8846-0082,
황실유럽자수,0.0,0건,리뷰 0,대구 서구 국채보상로50길 65,(지번) 평리동 1228-1,053-571-0877,
웅,5.0,2건,리뷰 1,"서울 종로구 자하문로 299 2,3층",(지번) 홍지동 127-20,053-571-0877,http://www.woonggallery.co.kr/
수재샵 보석십자수 민스박스,5.0,1건,리뷰 0,서울 동대문구 사가정로 122 전농하우스토리 상가동 520호,(지번) 전농동 32-4,02-3394-6980,http://www.minsbox.com/
대한섬유,0.0,0건,리뷰 0,경북 경산시 하양읍 하양로 309,(지번) 하양읍 동서리 714,053-982-0558,
예전표구사,0.0,0건,리뷰 0,대구 중구 명륜로 128-3 1층,(지번) 대봉동 724-15,053-424-8247,http://yejoen.mobizio.kr/
필승사,0.0,0건,리뷰 0,대구 중구 국채보상로143길 69,(지번) 동인동3가 271-30,053-255-1900,
서,5.0,1건,리뷰 1,서울 광진구 자양로 179,(지번) 구의동 254-86,053-255-1900,
진안창작공예공방,0.0,0건,리뷰 0,전북 진안군 진안읍 진무로 510-5,(지번) 진안읍 가림리 1090,연락처 없음,
덕산공방,0.0,0건,리뷰 0,대구 중구 명륜로 51,(지번) 남산동 616-35,053-254-1542,
리,0.0,0건,리뷰 8,서울 종로구 율곡로3길 74-18 1층,(지번) 안국동 17-5,053-254-1542,https://www.lehmannmaupin.com/
켈리의재봉틀,0.0,0건,리뷰 0,대구 달서구 달구벌대로329길 25-9,(지번) 감삼동 55-20,연락처 없음,
빛고을공예창작촌,0.0,0건,리뷰 7,광주 남구 포충로 937,(지번) 양과동 893-2,062-607-2329,http://www.gjcraft.or.kr/
류태열사진,5.0,1건,리뷰 1,대구 중구 서성로 34-1,(지번) 남성로 5,010-5546-2517,https://blog.naver.com/rty0102
,"D 포레스트공방 미술,공예",0.0,0건,리뷰 0,(지번) 남성로 5,010-5546-2517,http://blog.naver.com/jsh_1101
뽀솝,0.0,0건,리뷰 6,대구 중구 국채보상로149길 82-1,(지번) 동인동3가 320-7,010-2790-0300,https://www.instagram.com/bboosoap/
레브쥬캔들,0.0,0건,리뷰 2,대구 중구 명덕로65길 42,(지번) 대봉동 121-93,010-2790-0300,https://www.instagram.com/revejou/
고범석,0.0,0건,리뷰 0,경기 광주시 남한산성면 오전길 24-23 1층,(지번) 남한산성면 오전리 66,010-3042-9085,http://www.kobeomsuk.com/
옥이공방,0.0,0건,리뷰 0,대구 달서구 상화로21길 30,(지번) 진천동 326,연락처 없음,
그림사,0.0,0건,리뷰 0,대구 달서구 학산로 15,(지번) 월성동 89,053-634-1665,
마주이,5.0,1건,리뷰 0,경북 경산시 임당로12길 29-7,(지번) 임당동 711,010-7253-7575,http://blog.naver.com/hmyhope
통영전통공예,0.0,0건,리뷰 4,경남 통영시 도남로 281,(지번) 도남동 642,055-645-3266,http://www.craft12.co.kr/
에이엔테크,0.0,0건,리뷰 0,경남 창원시 마산회원구 내서읍 중리공단로1길 22-3,(지번) 내서읍 중리 1126-7,055-232-3705,
구름가죽공방,0.0,0건,리뷰 0,대구 남구 중앙대로30길 75-1,(지번) 봉덕동 572-21,070-8840-2340,
민속품옛,0.0,0건,리뷰 0,대구 달서구 장기로 80-1,(지번) 성당동 656-9,연락처 없음,
갤러,0.0,0건,리뷰 17,서울 종로구 자하문로41길 4 지하1층,(지번) 부암동 185-6,연락처 없음,http://galleryraon.com/
빛,0.0,0건,리뷰 0,대구 수성구 고산로4길 48,(지번) 신매동 600-14,053-791-4463,
크리몽,0.0,0건,리뷰 0,대구 중구 교동4길 33-18,(지번) 동문동 4-19,연락처 없음,https://www.crimont.com/
홍제유연,0.0,0건,리뷰 0,서울 서대문구 통일로 484,(지번) 홍제동 294-46,연락처 없음,
,"D 영아POP 미술,공예",0.0,0건,리뷰 145,(지번) 홍제동 294-46,연락처 없음,https://blog.naver.com/jungya22
남문화,0.0,0건,리뷰 0,전북 전주시 완산구 팔달로 172,(지번) 경원동1가 24-2,063-284-3866,
민영산업제2공장,0.0,0건,리뷰 0,대구 달성군 유가읍 테크노중앙대로 193,(지번) 유가읍 상리 915-1,053-583-9346,
이젤,5.0,1건,리뷰 3,부산 수영구 연수로335번길 22,(지번) 망미동 426-3,051-753-4808,
콤마레진,0.0,0건,리뷰 1,대구 달서구 달구벌대로330길 36,(지번) 감삼동 115-65,연락처 없음,http://www.commaresin.com/
영진수예,0.0,0건,리뷰 0,대구 서구 달서로4길 37,(지번) 내당동 976-10,053-571-1969,
다연도예,0.0,0건,리뷰 0,대구 달성군 화원읍 성암로2길 26,(지번) 화원읍 본리리 125-6,053-639-2713,
도예수공원학원 북구점,0.0,0건,리뷰 0,부산 북구 의성로 111 2층,(지번) 덕천동 412-1,010-9283-3440,https://cafe.naver.com/suwanpot
향기억,2.0,3건,리뷰 50,서울 강남구 선릉로157길 23,(지번) 신사동 657-19,010-9283-3440,
베이킹클럽 오븐빨,5.0,1건,리뷰 63,경기 수원시 영통구 원천동 589 어뮤즈스퀘어 지하1층 11호,(지번) 신사동 657-19,031-214-1002,https://www.instagram.com/ovenpal/
반지이야기,0.0,0건,리뷰 1,부산 부산진구 서면로68번길 46 4층,(지번) 부전동 242-5,051-807-6490,http://cafe.naver.com/ringforu
헤펠레목공방 대구화,0.0,0건,리뷰 0,대구 달성군 화원읍 비슬로479길 6-5,(지번) 화원읍 설화리 800,053-634-3361,
아트비트,3.0,2건,리뷰 5,서울 종로구 율곡로3길 74-13,(지번) 화동 132,053-634-3361,http://www.artbit.kr/
디아나향기교습소,0.0,0건,리뷰 33,대전 유성구 원신흥남로42번길 5-20,(지번) 원신흥동 542-1,010-5550-4452,https://www.instagram.com/diana0902_/
동,0.0,0건,리뷰 3,대구 중구 봉산문화길 42,(지번) 봉산동 223-16,053-423-1300,
,"D 도예공방 굄 미술,공예",0.0,0건,리뷰 0,(지번) 봉산동 223-16,053-423-1300,https://instagram.com/pottery_goem
글모아POP,5.0,1건,리뷰 0,대구 달서구 달구벌대로307길 48,(지번) 죽전동 262-5,010-7556-0197,http://cafe.daum.net/myjhy
민트홀릭,0.0,0건,리뷰 3,대구 달성군 다사읍 대실역남로2길 12-12,(지번) 다사읍 죽곡리 826-6,010-6697-3617,https://blog.naver.com/mate1015
대림목,0.0,0건,리뷰 0,대구 동구 불로동 832-1,(지번) 다사읍 죽곡리 826-6,연락처 없음,http://www.dl.co.kr/index.html
크리도자기,0.0,0건,리뷰 19,대구 동구 둔산로 5 2층,(지번) 방촌동 863-27,연락처 없음,https://blog.naver.com/hjs9264_2
053사진액자,0.0,0건,리뷰 0,대구 중구 동덕로36길 6,(지번) 동인동2가 113-4,053-426-0530,http://my053.com/
프랑듀,0.0,0건,리뷰 0,대구 달서구 성지로 11 영남우방1차,(지번) 용산동 414-1,0507-1350-3575,https://blog.naver.com/imstarry
갤러리,5.0,1건,리뷰 2,서울 중구 퇴계로 163 지하1층,(지번) 충무로2가 52-10,연락처 없음,http://cafe.daum.net/gallerybresson/
나무이,0.0,0건,리뷰 0,경북 상주시 동문2길 54-3,(지번) 복룡동 352-1,연락처 없음,https://blog.naver.com/qwer90asdf
더쿠스튜디오,0.0,0건,리뷰 0,대구 달서구 상화북로 28 행복빌 1층,(지번) 진천동 809-16,010-9365-8816,https://es-la.facebook.com/thecoostudio.kr/
갤러,5.0,3건,리뷰 16,경기 양평군 서종면 북한강로 991 3층,(지번) 서종면 문호리 617-2,031-774-5530,
스튜디오플로레세르,0.0,0건,리뷰 0,대구 수성구 청수로25길 48-5,(지번) 황금동 865-1,연락처 없음,
헬로컨츄리,0.0,0건,리뷰 0,대구 달서구 계대동문로 99,(지번) 이곡동 1191,070-7695-2487,
보석십자수수재샵 동래점,0.0,0건,리뷰 0,부산 동래구 시실로 213 1층,(지번) 명장동 22-4,010-8809-2717,
이이요CeramicStudio,0.0,0건,리뷰 1,대구 수성구 청호로85안길 35,(지번) 범어동 65-54,연락처 없음,
,D 안동한지공장 전통공예,0.0,0건,리뷰 0,(지번) 범어동 65-54,연락처 없음,
형제마크사,0.0,0건,리뷰 0,경북 칠곡군 왜관읍 석전로 151-1,(지번) 왜관읍 석전리 445-9,054-973-8858,http://www.brotherjasoo.co.kr/
아름다운한지공방,0.0,0건,리뷰 0,대구 달서구 당산로21길 66,(지번) 감삼동 187-27,연락처 없음,
골동품경,0.0,0건,리뷰 0,충남 천안시 동남구 광덕면 광풍로 250-3,(지번) 광덕면 광덕리 403-3,010-4588-6426,
